Type;SKU;Name;Published;Visibility in catalog;In stock?;Backorders allowed?;Price;Stock;Categories;Attribute 1 Name;Attribute 1 Value(s);Attribute 2 Name;Attribute 2 Value(s);Attribute 3 Name;Attribute 3 Value(s);Attribute 4 Name;Attribute 4 Value(s);Attribute 5 Name;Attribute 5 Value(s)
SIMPLE;856-SKK-807CW;GAVINETE PARA COCINA ;0;visible;1;notify;135;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;856-GB702CCHC;GAVINETE PARA COCINA 6 PUERTAS Y 3 GAVETAS ;0;visible;1;notify;365;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
VARIABLE;107726;GUANTE PARA COCINA BEAUTIFUL HOME ;0;visible;1;notify;3;10;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;CEE308SS;HERVIDOR ELECTROCO ERICKSON, APAGADO AUTOMATICO;0;visible;1;notify;22;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;707-31604;HIELERA PEQUEÑA LIFE ART;0;visible;1;notify;3.5;5;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;AM007W;HORNO MICROONDAS ATLAS ;0;visible;1;notify;67;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;25PX27;HORNO MICROONDAS ERICKSON;0;visible;1;notify;110;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;RCTH11;HORNO TOSTADOR RCA;0;visible;1;notify;49;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;316;INODORO PARA BEBE;0;visible;1;notify;24;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;SW10754;JARRA TERMICA LIFE ART;0;visible;1;notify;7.5;10;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;714-90140453;JARRON GRANDE CON FLORERO;0;visible;1;notify;148;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;714-90140455;JARRON GRANDE CON FLORERO;0;visible;1;notify;180;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;SW09396;JEEP ELECTRICO MRANGLER PARA NIÑO  AZUL;0;visible;1;notify;220;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;850-37556BLK1;JEGO MESA PARA EXTERIORES 4 SILLAS PLEGABLES ;0;visible;1;notify;160;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;719-83275;JOYERO ;0;visible;1;notify;14;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;711-90139194;JUEGO DE BAÑO CORTINA Y ALFOMBRAS ;0;visible;1;notify;19.5;3;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;851-L11710036;JUEGO DE MESA CON SILLAS PARA NIÑOS;0;visible;1;notify;52;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;851-L11710039;JUEGO DE MESA CON SILLAS PARA NIÑOS FALLADO UTIE BABY;0;visible;1;notify;52;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;L618289/1214;JUEGO DE OLLAS AETERNUM;0;visible;1;notify;244;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;L621387/3914;JUEGO DE OLLAS AETERNUM;0;visible;1;notify;280;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;PATINES_0028;JUEGO DE PATINES CON CASCO TALLA 36;0;visible;1;notify;28;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;857-SLS1877Q;JUEGO DE RECAMARA SET 5 PIEZAS ;0;visible;1;notify;1200;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
VARIABLE;KIN-BS-1;JUEGO DE SABANAS EL MEJOR HOGAR;0;visible;1;notify;28;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
VARIABLE;BD-1002;JUEGO DE SABANAS MI CASA D ORO KING;0;visible;1;notify;19;2;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
VARIABLE;48-015;JUEGO DE SABANAS MIEL HOME;0;visible;1;notify;12;7;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
VARIABLE;SDX1800;JUEGO DE SABANAS SAMAR DELUXE KING;0;visible;1;notify;28;3;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;851-MA1111926;JUEGO DE SOFA ;0;visible;1;notify;1180;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;HG-2895;JUEGO DE TAZAS;0;visible;1;notify;7.5;24;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;722-90139795;JUEGO DE VARILLA DECORATIVA PARA CORTINA ROD SET 121-213 CMS;0;visible;1;notify;8.5;2;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;722-90139248;JUEGO DE VARILLA DECORATIVA PARA CORTINA ROD SET 152-304 CMS;0;visible;1;notify;13.5;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;722-90139256;JUEGO DE VARILLA DECORATIVA PARA CORTINA ROD SET 152-304 CMS;0;visible;1;notify;10;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;722-90139258;JUEGO DE VARILLA DECORATIVA PARA CORTINA ROD SET 152-304 CMS;0;visible;1;notify;10;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;722-90139268;JUEGO DE VARILLA DECORATIVA PARA CORTINA ROD SET 152-304 CMS;0;visible;1;notify;15;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;722-90139802;JUEGO DE VARILLA DECORATIVA PARA CORTINA ROD SET 152-304 CMS;0;visible;1;notify;13.99;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;722-MCR030;JUEGO DE VARILLA DECORATIVA PARA CORTINA ROD SET 210-300;0;visible;1;notify;18;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;854-7492;JUEGO MESA  DECORADA REDONDA DE PLASTICO, DOS SILLAS ;0;visible;1;notify;115;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;C18-3;JUEGO MESA  PARA EXTERIORES 4 SILLAS ;0;visible;1;notify;320;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;854-8733;JUEGO MESA  REDONDA DE PLASTICO, DOS SILLAS ;0;visible;1;notify;110;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;T94/Y-94;JUEGO PARA EXTERIORES (2 SILLAS );0;visible;1;notify;220;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;851-509502152;JUEGO SOFA;0;visible;1;notify;1350;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;928;JUEGO SOFA ;0;visible;1;notify;2800;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;851-5136061;JUEGO SOFA ;0;visible;1;notify;1080;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;854-MA210058CHCRO;JUEGO SOFA PARA TERRAZA;0;visible;1;notify;520;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;DLY-R019;JUEGO SOFA PARA TERRAZA;0;visible;1;notify;490;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;LUXURA-RSC-MBG;JUEGO SOFA PARA TERRAZA;0;visible;1;notify;328;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;3246-H62;KIT DE CAMARAS DE VIGILANCIA 4 CAMARAS;0;visible;1;notify;350;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;2-46AHD62;KIT DE CAMARAS DE VIGILANCIA 8 CAMARAS;0;visible;1;notify;380;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;4065-01-BK;LAMPARA DE PEDESTAL PARA PATIO  1 BOMBILLO ;0;visible;1;notify;95;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;4065-01-DG;LAMPARA DE PEDESTAL PARA PATIO  1 BOMBILLO ;0;visible;1;notify;115;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;6935BK-03;LAMPARA DE PEDESTAL PARA PATIO  3 BOMBILLOS ;0;visible;1;notify;140;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;4065-03DG;LAMPARA DE PIE PARA EXTERIORES 3 BOMBILLOS ;0;visible;1;notify;265;2;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;6743F-WH;LAMPARA DE POSTE ;0;visible;1;notify;78;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;5442;LAMPARA DE TECHO ;0;visible;1;notify;25;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;604-78461;LAMPARA LABIOS  PARA MESA ;0;visible;1;notify;21;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;605-9114697;LAMPARA P/TECHO 4 BOMBILLOS ;0;visible;1;notify;78;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;4278-5H;LAMPARA P/TECHO 5 BOMBILLOS ;0;visible;1;notify;0;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;607-DS9929;LAMPARA PARA ESCRITORIO;0;visible;1;notify;12;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;3407-BO;LAMPARA PARA JARDIN ;0;visible;1;notify;30.99;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;7119T-DUO;LAMPARA PARA MESA;0;visible;1;notify;26;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;604-22500345;LAMPARA PARA MESA ;0;visible;1;notify;12;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;604-76277;LAMPARA PARA MESA ;0;visible;1;notify;15;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;604-78453;LAMPARA PARA MESA ;0;visible;1;notify;16;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;604-81808;LAMPARA PARA MESA ;0;visible;1;notify;18;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;604-81813;LAMPARA PARA MESA ;0;visible;1;notify;15;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;604-81906;LAMPARA PARA MESA ;0;visible;1;notify;28;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;604-81910;LAMPARA PARA MESA ;0;visible;1;notify;32;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;6520-BK;LAMPARA PARA MESA ;0;visible;1;notify;19;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;604-76274;LAMPARA PARA MESA ;0;visible;1;notify;18;2;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;604-78996;LAMPARA PARA MESA  1 NEGRO, 1 BLANCO;0;visible;1;notify;19;2;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;8038;LAMPARA PARA MESA ANGRY BIRT;0;visible;1;notify;24;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;604-30516;LAMPARA PARA MESA CARRITO;0;visible;1;notify;17.99;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;604-81795;LAMPARA PARA MESA MOTITO;0;visible;1;notify;15.99;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;2301;LAMPARA PARA PARED;0;visible;1;notify;10;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;4174SN-1W;LAMPARA PARA PARED;0;visible;1;notify;12;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;4903W;LAMPARA PARA PARED;0;visible;1;notify;12;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;5437W;LAMPARA PARA PARED;0;visible;1;notify;12;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;6237-1W;LAMPARA PARA PARED;0;visible;1;notify;12;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;6906-1W;LAMPARA PARA PARED;0;visible;1;notify;15;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;7210W;LAMPARA PARA PARED;0;visible;1;notify;12;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;4173SN-1W;LAMPARA PARA PARED ;0;visible;1;notify;8;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;4281BR-1W;LAMPARA PARA PARED ;0;visible;1;notify;24;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;6243-3;LAMPARA PARA PARED 3 BOMBILLOS ;0;visible;1;notify;12;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;8091-1W;LAMPARA PARA PARED GENOVA;0;visible;1;notify;0;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;3997-1W;LAMPARA PARA PARED HOME DELIGHT;0;visible;1;notify;12;2;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;605-90114684;LAMPARA PARA TECHO;0;visible;1;notify;160;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;605-90114686;LAMPARA PARA TECHO;0;visible;1;notify;189;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;20112-AB;LAMPARA PARA TECHO;0;visible;1;notify;35;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;3392SN-15;LAMPARA PARA TECHO;0;visible;1;notify;29;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;7149-2C;LAMPARA PARA TECHO;0;visible;1;notify;12;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;7669-13;LAMPARA PARA TECHO;0;visible;1;notify;38;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;605-90108760;LAMPARA PARA TECHO ;0;visible;1;notify;60;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;8171-5+1;LAMPARA PARA TECHO  5 BOMBILLOS;0;visible;1;notify;98;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;3214RAB-5H;LAMPARA PARA TECHO  5 BOMBILLOS;0;visible;1;notify;60;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;5413/571;LAMPARA PARA TECHO  5 BOMBILLOS;0;visible;1;notify;98;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;7573-9;LAMPARA PARA TECHO  9 BOMBILLOS ;0;visible;1;notify;350;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;7574-9;LAMPARA PARA TECHO  9 BOMBILLOS ;0;visible;1;notify;370;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;6025;LAMPARA PARA TECHO 1 BOMBILLO;0;visible;1;notify;32;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;7011;LAMPARA PARA TECHO 1 BOMBILLO;0;visible;1;notify;19;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;7209;LAMPARA PARA TECHO 1 BOMBILLO;0;visible;1;notify;22;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;4472-1H;LAMPARA PARA TECHO 1 BOMBILLO;0;visible;1;notify;29;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;7162WH;LAMPARA PARA TECHO 1 BOMBILLO;0;visible;1;notify;28;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;7199-H;LAMPARA PARA TECHO 1 BOMBILLO;0;visible;1;notify;32;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
